Player,Year,Games Played,Win Share, relevancy
Frank Ntilikina,2024,321,0.4, 1.100753242571473
Jusuf Nurkić,2024,539,31.9, 2.3399980528792756
Jordan Nwora,2024,206,3.0, 0.7496526699157823
Royce O'Neale,2024,525,27.4, 2.2214046384197195
Chuma Okeke,2024,189,4.5, 0.7153201717053314
Josh Okogie,2024,376,10.3, 1.4441587543824967
Onyeka Okongwu,2024,233,17.7, 1.0731941874533628
Isaac Okoro,2024,279,13.500000000000002, 1.16387063698808
Kelly Olynyk,2024,756,44.5, 3.278195977002397
Eugene Omoruyi,2024,87,1.3, 0.317199198190657
Cedi Osman,2024,476,12.6, 1.8212883177325327
Kelly Oubre Jr.,2024,595,22.299999999999997, 2.3797260414261614
Chris Paul,2024,1272,209.50000000000006, 7.6357120829437
Cameron Payne,2024,405,11.9, 1.568219241139834
Gary Payton II,2024,208,8.9, 0.8493842375607358
Mãozinha Pereira,2024,7,0.3, 0.028723893967321296
Drew Peterson,2024,3,0.1, 0.011937924031745064
Filip Petrušev,2024,3,0.0, 0.010363120882138765
Julian Phillips,2024,40,0.2, 0.13964909081771498
Jalen Pickett,2024,27,0.2, 0.09533090899953318
Scotty Pippen Jr.,2024,27,1.0, 0.10792933419638358
Mason Plumlee,2024,786,54.1, 3.5316498066373283
Brandin Podziemski,2024,74,4.1, 0.31697550456145157
Jakob Poeltl,2024,538,38.7, 2.4436755761434132
Aleksej Pokusevski,2024,168,-0.10000000000000009, 0.5712883177325324
Jordan Poole,2024,344,9.3, 1.3193198137955247
Craig Porter Jr.,2024,51,1.5, 0.1976215317625969
Jontay Porter,2024,37,0.7, 0.13729583383847374
Michael Porter Jr.,2024,268,20.1, 1.230307644862096
Otto Porter Jr.,2024,527,36.7, 2.374679513151287
Bobby Portis,2024,605,31.2, 2.5539744308320316
Kristaps Porziņģis,2024,459,42.800000000000004, 2.2389243234590896
Micah Potter,2024,26,0.5, 0.09664622753926118
Dwight Powell,2024,650,46.2, 2.9436039941820673
Norman Powell,2024,557,27.099999999999998, 2.325771138061809
Jason Preston,2024,21,0.1, 0.07330156039538144
Joshua Primo,2024,56,-0.2, 0.18789533276474432
Taurean Prince,2024,502,11.6, 1.894176649872833
Payton Pritchard,2024,267,12.299999999999999, 1.1040639082837136
Olivier-Maxence Prosper,2024,40,0.5, 0.14437350026653387
Trevelin Queen,2024,31,0.1, 0.10739246948629053
Neemias Queta,2024,48,2.0, 0.19526827478335562
Immanuel Quickley,2024,291,18.8, 1.2882442948263049
Lester Quinones,2024,41,0.6, 0.1493573943252311
Jahmi'us Ramsey,2024,39,0.0, 0.13309039360941147
Julius Randle,2024,641,43.199999999999996, 2.8656780815120597
Duop Reath,2024,68,2.4, 0.26974930556359905
Austin Reaves,2024,207,14.200000000000001, 0.9294397135807786
Cam Reddish,2024,221,2.5, 0.7929150178041143
Paul Reed,2024,215,9.799999999999999, 0.8874211022708288
Naz Reid,2024,326,15.100000000000001, 1.3492947601090537
Jared Rhoden,2024,31,0.4, 0.11211687893510942
Nick Richards,2024,200,10.3, 0.8441587543824968
Josh Richardson,2024,546,27.599999999999998, 2.296145153809841
Duncan Robinson,2024,349,17.2, 1.4607747171598768
Jerome Robinson,2024,135,-0.19999999999999998, 0.4572135145829262
Mitchell Robinson,2024,320,33.8, 1.623328403630886
Orlando Robinson,2024,67,2.0, 0.26004100205608294
Jeremiah Robinson-Earl,2024,131,4.0, 0.509718883230027
David Roddy,2024,135,1.2000000000000002, 0.47926075867741436
Ryan Rollins,2024,25,0.0, 0.08536312088213878
Derrick Rose,2024,723,44.6, 3.1672707801520033
Terry Rozier,2024,601,29.499999999999996, 2.5135664136523608
Rayan Rupert,2024,39,-0.1, 0.13151559045980515
D'Angelo Russell,2024,571,24.7, 2.3357031351985307
Matt Ryan,2024,63,0.8, 0.2275070006244437
Domantas Sabonis,2024,576,59.8, 2.9055044952557965
Luka Šamanić,2024,86,0.1, 0.2948924694862905
Jermaine Samuels,2024,14,0.2, 0.05101272718135136
Adama Sanogo,2024,9,0.2, 0.03396727263589682
Gui Santos,2024,23,0.7, 0.08956856111120104
Dario Šarić,2024,477,20.9, 1.9554060700589464
Olivier Sarr,2024,46,1.6, 0.18215088036674862
Marcus Sasser,2024,71,0.9, 0.25635453104677725
Admiral Schofield,2024,131,1.2000000000000002, 0.4656243950410507
Dennis Schröder,2024,767,29.6, 3.0810503077110583
Dereon Seabron,2024,11,0.1, 0.039210651304472335
Alperen Sengun,2024,210,14.200000000000001, 0.9396669863080513
Brice Sensabaugh,2024,32,-0.3, 0.10450234779695623
Collin Sexton,2024,344,13.3, 1.3823119397797765
Landry Shamet,2024,348,12.1, 1.3770506656208645
Day'Ron Sharpe,2024,141,5.7, 0.5705814458642432
Shaedon Sharpe,2024,112,1.7, 0.4087256835163549
Ben Sheppard,2024,57,0.8, 0.20705245516989823
Pascal Siakam,2024,551,48.00000000000001, 2.6344504508749806
Ben Simmons,2024,332,33.5, 1.6595130850911581
Kobi Simmons,2024,42,-0.1, 0.1417428631870779
Anfernee Simons,2024,319,8.7, 1.2246437221706141
Zavier Simpson,2024,11,-0.30000000000000004, 0.03291143870604714
Jericho Sims,2024,138,5.6, 0.5587793699873641
Dmytro Skapintsev,2024,2,0.0, 0.006954029973047857
Jalen Slawson,2024,12,0.0, 0.04104493906395694
Javonte Smart,2024,18,-0.2, 0.0583498782192898
Marcus Smart,2024,601,33.4, 2.5749837364870065
Dennis Smith Jr.,2024,326,2.3000000000000007, 1.1477199569594474
Dru Smith,2024,24,0.6, 0.09140284887068564
Ish Smith,2024,805,13.8, 2.9617768646187175
Jabari Smith Jr.,2024,155,7.5, 0.6466551752844294
Jalen Smith,2024,207,9.2, 0.8506995561004637
Nick Smith Jr.,2024,51,-0.5, 0.16612546877047088
Terquavion Smith,2024,16,0.1, 0.05625610584992688
Jeremy Sochan,2024,130,1.5999999999999999, 0.468514516730385
Pat Spencer,2024,6,0.0, 0.02059039360941149
